Row ID,Date,Company,Scenario,Intrinsic Value ($/share),Market Price ($/share),Upside (%),Operating Model,Exit Value,Discount Rate (%),TBV Included,Forecast Years,Revenue CAGR (%),Net Income CAGR (%),Scenario Chance (%),% Under / Overvalued,Year,Notes,Forecasted Revenue (JSON),Forecasted Net Income (JSON),Forecasted Net Margin % (JSON),Forecasted Revenue Growth % (JSON)
e9c9a93d-80cf-4f11-bdd1-990d92f82092,2025-11-21 16:00:00.287788,PYPL,Base,88.2153,58.6572,50.39,NI + PE Exit,15.00× PE,8.0,No,5,5.0,5.01,,50.39,2025,,,,,
09004a84-be3f-438d-9582-ff1af74ea743,2024-10-01 09:41:00.000000,META,Base,550.4637,636.22,-13.48,NI + PE Exit,12.64× PE,8.0,Yes,5,8.47,6.79,,-13.48,2024,,,,,
f8928c95-efb1-4f7e-91ed-eccdf46dc713,2025-01-01 09:39:00.000000,META,Base,700.1077,636.22,10.04,NI + PE Exit,18.22× PE,8.0,Yes,5,8.47,6.79,,10.04,2025,,,,,
5c133a76-bb46-4a38-abac-7090e6a8cf00,2025-07-01 09:39:00.000000,META,Base,856.4561,636.22,34.62,NI + PE Exit,24.05× PE,8.0,Yes,5,8.47,6.79,,34.62,2025,,,,,
dab46ca9-eb18-4401-93ed-963bc95ca1bd,2025-10-01 09:39:00.000000,META,Base,808.9617,636.22,27.15,NI + PE Exit,25.00× PE,8.0,No,5,13.16,7.25,,27.15,2025,,,,,
df2f565b-8236-44d2-b67f-e297c2b4385b,2025-04-01 09:44:00.000000,META,Base,603.4737,636.22,-5.15,NI + PE Exit,17.50× PE,8.0,No,5,13.16,7.25,,-5.15,2025,,,,,
e04f039a-91cb-4e7e-a844-5285685e1ae1,2025-01-01 11:25:00.000000,AMD,Base,170.5796,206.13,-17.25,NI + PE Exit,133.00× PE,8.0,No,5,8.47,0.6,,-17.25,2025,,,,,
5d8b6e8e-4d0f-4727-ac8e-a0dd5d3776cc,2025-04-01 11:25:00.000000,AMD,Base,130.1674,206.13,-36.85,NI + PE Exit,100.00× PE,8.0,No,5,8.47,0.6,,-36.85,2025,,,,,
323a4bef-1b6a-45cd-9594-a8daaffde916,2025-07-01 11:25:00.000000,AMD,Base,230.0958,206.13,11.63,NI + PE Exit,181.60× PE,8.0,No,5,8.47,0.6,,11.63,2025,,,,,
531c7de4-7a44-4779-8dd8-52e402e2d133,2024-10-01 12:29:00.000000,AMZN,Base,209.9966,229.67,-8.57,NI + PE Exit,43.60× PE,8.0,No,5,8.47,-1.31,,-8.57,2024,,,,,
ed39c84f-77d7-4f20-a210-fc061f3d1ab9,2025-01-01 12:29:00.000000,AMZN,Base,230.6163,229.67,0.41,NI + PE Exit,48.50× PE,8.0,No,5,8.47,-1.31,,0.41,2025,,,,,
3d14b98e-7749-45ac-8780-dfc5d9b139f0,2025-04-01 12:29:00.000000,AMZN,Base,200.0177,229.67,-12.91,NI + PE Exit,41.23× PE,8.0,No,5,8.47,-1.31,,-12.91,2025,,,,,
daefd01b-ed99-4f01-809a-8b3385db57b6,2025-07-01 12:29:00.000000,AMZN,Base,250.3981,229.67,9.03,NI + PE Exit,53.20× PE,8.0,No,5,8.47,-1.31,,9.03,2025,,,,,
6e7f1d3d-fa4a-4640-99fa-5fa0c4af25ba,2024-10-01 12:33:00.000000,GOOGL,Base,180.396,323.44,-44.23,NI + PE Exit,81.00× PE,8.0,No,5,8.47,-20.53,,-44.23,2024,,,,,
64790752-c54d-41b2-9d31-8c62b7545566,2025-01-01 12:33:00.000000,GOOGL,Base,159.7304,323.44,-50.62,NI + PE Exit,71.00× PE,8.0,No,5,8.47,-20.53,,-50.62,2025,,,,,
b207119c-2a6f-4982-a3e2-788279304c7b,2025-04-01 12:33:00.000000,GOOGL,Base,200.0284,323.44,-38.16,NI + PE Exit,90.50× PE,8.0,No,5,8.47,-20.53,,-38.16,2025,,,,,
3fedf180-3ca5-434e-b54c-9f51b7e25cb6,2025-07-01 12:33:00.000000,GOOGL,Base,225.4471,323.44,-30.3,NI + PE Exit,102.80× PE,8.0,No,5,8.47,-20.53,,-30.3,2025,,,,,
3bad1bbf-34e7-452d-a979-85b0a3614f44,2025-01-01 12:36:00.000000,MSFT,Base,499.7307,476.99,4.77,NI + PE Exit,32.30× PE,8.0,No,6,8.47,6.92,,4.77,2025,,,,,
6ebe25fd-ba4a-464d-99f0-261e1ab1a153,2025-04-01 12:36:00.000000,MSFT,Base,379.7729,476.99,-20.38,NI + PE Exit,23.00× PE,8.0,No,6,8.47,6.92,,-20.38,2025,,,,,
845bd91b-a82a-4ec3-84be-1c0f2c66ed34,2025-07-01 12:36:00.000000,MSFT,Base,525.5281,476.99,10.18,NI + PE Exit,34.30× PE,8.0,No,6,8.47,6.92,,10.18,2025,,,,,
47e5b2d6-f4ca-4c78-99b2-e3eb593bbcf0,2024-10-01 12:39:00.000000,PYPL,Base,109.8215,61.22,79.39,NI + PE Exit,22.60× PE,8.0,No,4,8.47,2.36,,79.39,2024,,,,,
fb5b8d4b-ab5f-450d-a5a2-98ef9fd89fb1,2025-01-01 12:39:00.000000,PYPL,Base,104.9798,61.22,71.48,NI + PE Exit,21.40× PE,8.0,No,4,8.47,2.36,,71.48,2025,,,,,
09150bb9-6419-4f7d-bf8a-23b342ba9a8a,2025-04-01 12:39:00.000000,PYPL,Base,83.1919,61.22,35.89,NI + PE Exit,16.00× PE,8.0,No,4,8.47,2.36,,35.89,2025,,,,,
4e6965db-228e-4b0d-8b46-72a78ba822fe,2025-07-01 12:39:00.000000,PYPL,Base,89.0423,61.22,45.45,NI + PE Exit,17.45× PE,8.0,No,4,8.47,2.36,,45.45,2025,,,,,
162418ce-db03-47c8-8413-a882679a42a6,2025-04-01 12:41:00.000000,ASML,Base,760.5879,1003.22,-24.19,NI + PE Exit,29.05× PE,8.0,No,5,8.47,6.15,,-24.19,2025,,,,,
eb9624c0-b8fb-4ada-b4cf-de2f0c2adbea,2025-10-01 12:43:00.000000,CRTO,Base,35.0954,19.85,76.8,NI + PE Exit,15.40× PE,8.0,No,3,8.46,-3.12,,76.8,2025,,,,,
